priority,classification,catalog_index,campaign_name,prize_rank,product_name,display_character_name,character_name,matched_characters,same_prize_row_count,source_url,image_url,recommended_action,split_name_templates,preserve_name_template
4,likely_combined_goods,13203,一番くじ ドラゴンボール スペクタクルバトル,E賞,孫悟空＆孫悟飯 フィギュア,혼합,혼합,손오공 | 손오반,1,https://1kuji.com/products/db_sb,https://assets.1kuji.com/uploads/product_item/image/106625/0e7175e3-ece2-45f1-b517-1139db038b3c.webp,Product name uses a pair/team marker; keep as one mixed row unless official source lists separate prizes.,,一番くじ ドラゴンボール スペクタクルバトル / E賞 / 孫悟空＆孫悟飯 フィギュア / 혼합
4,likely_combined_goods,13574,一番くじ 鬼滅の刃 ～繋いだ軌跡～,A賞,竈門炭治郎&竈門禰豆子 ArtScale Memoria,혼합,혼합,카마도 네즈코 | 카마도 탄지로,1,https://1kuji.com/products/kimetsu24,https://assets.1kuji.com/uploads/product_item/image/103381/761457c0-a8e5-451b-b54d-d590d09c6276.jpg,Product name uses a pair/team marker; keep as one mixed row unless official source lists separate prizes.,,一番くじ 鬼滅の刃 ～繋いだ軌跡～ / A賞 / 竈門炭治郎&竈門禰豆子 ArtScale Memoria / 혼합
4,likely_combined_goods,13575,一番くじ 鬼滅の刃 ～繋いだ軌跡～,B賞,Revible Moment-竈門炭治郎&煉獄杏寿郎-,혼합,혼합,렌고쿠 쿄쥬로 | 카마도 탄지로,1,https://1kuji.com/products/kimetsu24,https://assets.1kuji.com/uploads/product_item/image/103382/293e34ed-20a8-4350-a674-f0d6d35dd035.jpg,Product name uses a pair/team marker; keep as one mixed row unless official source lists separate prizes.,,一番くじ 鬼滅の刃 ～繋いだ軌跡～ / B賞 / Revible Moment-竈門炭治郎&煉獄杏寿郎- / 혼합
4,likely_combined_goods,13582,一番くじ 鬼滅の刃 ～繋いだ軌跡～,ラストワン賞,Revible Moment-竈門炭治郎&煉獄杏寿郎- ラストワンver.,혼합,혼합,렌고쿠 쿄쥬로 | 카마도 탄지로,1,https://1kuji.com/products/kimetsu24,https://assets.1kuji.com/uploads/product_item/image/103389/36414c1b-f17a-45af-bcbc-c987d1aa6662.jpg,Product name uses a pair/team marker; keep as one mixed row unless official source lists separate prizes.,,一番くじ 鬼滅の刃 ～繋いだ軌跡～ / ラストワン賞 / Revible Moment-竈門炭治郎&煉獄杏寿郎- ラストワンver. / 혼합
4,likely_combined_goods,13762,一番くじ 鬼滅の刃 ～弐～,C賞,＜炭治郎・禰豆子＞ちょこのっこ フィギュア,혼합,혼합,카마도 네즈코 | 카마도 탄지로,1,https://1kuji.com/products/kimetsu3,https://assets.1kuji.com/uploads/product_item/image/16950/18743b35-d367-4b8d-b8d0-030a8f1d0f05.jpg,Product name uses a pair/team marker; keep as one mixed row unless official source lists separate prizes.,,一番くじ 鬼滅の刃 ～弐～ / C賞 / ＜炭治郎・禰豆子＞ちょこのっこ フィギュア / 혼합
4,likely_combined_goods,13763,一番くじ 鬼滅の刃 ～弐～,D賞,＜善逸・伊之助＞ちょこのっこ フィギュア,혼합,혼합,아가츠마 젠이츠 | 하시비라 이노스케,1,https://1kuji.com/products/kimetsu3,https://assets.1kuji.com/uploads/product_item/image/16951/1f7343fa-c1c0-4c1e-bd55-90f6797db495.jpg,Product name uses a pair/team marker; keep as one mixed row unless official source lists separate prizes.,,一番くじ 鬼滅の刃 ～弐～ / D賞 / ＜善逸・伊之助＞ちょこのっこ フィギュア / 혼합
4,likely_combined_goods,16054,一番くじ ワンピース ROMANCE DAWN for the new world～後編～,E賞,ウソップ＆チョッパーフィギュア,혼합,혼합,우솝 | 토니토니 쵸파,1,https://1kuji.com/products/onep10-2,https://assets.1kuji.com/uploads/product_item/image/1920/62b082a5-f1f0-4355-9538-d860ffe5d27c.jpg,Product name uses a pair/team marker; keep as one mixed row unless official source lists separate prizes.,,一番くじ ワンピース ROMANCE DAWN for the new world～後編～ / E賞 / ウソップ＆チョッパーフィギュア / 혼합
4,likely_combined_goods,16190,一番くじワンピースフィルム～ストロングワールド～,C賞,ウソップ＆チョッパーフィギュア,혼합,혼합,우솝 | 토니토니 쵸파,1,https://1kuji.com/products/onepfilm_2,https://assets.1kuji.com/uploads/product_item/image/935/10a4d8c9-6c43-4079-840c-ff6ed0647466.jpg,Product name uses a pair/team marker; keep as one mixed row unless official source lists separate prizes.,,一番くじワンピースフィルム～ストロングワールド～ / C賞 / ウソップ＆チョッパーフィギュア / 혼합
4,likely_combined_goods,16254,一番くじ ドラゴンボール ASSEMBLE COLLECTION ～孫悟空少年期編～,A賞,孫悟空・占いババ・孫悟飯 ASSEMBLEフィギュア,혼합,혼합,손오공 | 손오반,1,https://1kuji.com/products/db_ac,https://assets.1kuji.com/uploads/product_item/image/104535/a9ea77f2-3810-4531-b5e3-cdb227444be2.jpg,Product name uses a pair/team marker; keep as one mixed row unless official source lists separate prizes.,,一番くじ ドラゴンボール ASSEMBLE COLLECTION ～孫悟空少年期編～ / A賞 / 孫悟空・占いババ・孫悟飯 ASSEMBLEフィギュア / 혼합
4,likely_combined_goods,16281,一番くじ ドラゴンボール DRAGON HISTORY Ⅱ,ラストワン賞,孫悟空＆孫悟飯じいちゃん Revible Moment,혼합,혼합,손오공 | 손오반,1,https://1kuji.com/products/db_dh2,https://assets.1kuji.com/uploads/product_item/image/103999/70ead3d2-32d7-4c9c-bcd3-534853b0d808.jpg,Product name uses a pair/team marker; keep as one mixed row unless official source lists separate prizes.,,一番くじ ドラゴンボール DRAGON HISTORY Ⅱ / ラストワン賞 / 孫悟空＆孫悟飯じいちゃん Revible Moment / 혼합
